"filename", "language", "HTML", "comment", "blank", "total"
"c:\Users\willm\Desktop\WritersClubWebsite\WritersClubWebsite-20231019T235054Z-001\WritersClubWebsite\works\works\dylan_dencklau\DylanDencklauShortStoryThePerfectSummerDay.html", "HTML", 5, 0, 0, 5
"Total", "-", 5, 0, 0, 5
